id,name,area,type,published_at,created_at,archived,url,alternate_url,employer,from,to,currency,gross,requirement,responsibility
69474299,"Разработчик С++ (Middle, Senior)",Москва,Открытая,2022-09-23T14:53:18+0300,2022-09-23T14:53:18+0300,False,https://api.hh.ru/vacancies/69474299?host=hh.ru,https://hh.ru/vacancy/69474299,SPL,,,,,"Будет плюсом: - Опыт работы с графическими API (OpenGL, DirectX, Vulkan). - Опыт работы с perforce. - Знание C# или <highlighttext>Python</highlighttext>.","программирование игровых механик и логики. - профилирование и оптимизация игры. - разработка вспомогательных инструментов (редакторов уровней, карт, эффектов, различных утилит и прочее)."
70195487,Golang разработчик,Москва,Открытая,2022-09-23T08:38:34+0300,2022-09-23T08:38:34+0300,False,https://api.hh.ru/vacancies/70195487?host=hh.ru,https://hh.ru/vacancy/70195487,WILDBERRIES,,,,,Опыт разработки на Go не менее 3 лет. Опыт разработки микросервисных приложений на Go. Уверенные познания в СУБД (Postgres). ,Проектирование и разработка высоконагруженных микросервисов на Golang. Участие в развитии архитектуры системы. Технический анализ и тестирование. Участвовать в создании новых...
70225081,Frontend developer (Angular),Москва,Открытая,2022-09-23T15:27:09+0300,2022-09-23T15:27:09+0300,False,https://api.hh.ru/vacancies/70225081?host=hh.ru,https://hh.ru/vacancy/70225081,AppMagic,,3000.0,USD,False,"Хорошее знание Typescript и JavaScript (ES6+), HTML, CSS (SASS). Понимание принципов работы REST. Способность писать модульный и хорошо...","...Angular (10+), Storybook, Material, RxJs, Highcharts, Jest, Sass. Jira / Confluence. Инфраструктура и backend: Gitlab, Docker, Kubernetes, PHP, Golang, <highlighttext>Python</highlighttext>."
70225080,Frontend developer (Angular),Тбилиси,Открытая,2022-09-23T15:27:09+0300,2022-09-23T15:27:09+0300,False,https://api.hh.ru/vacancies/70225080?host=hh.ru,https://hh.ru/vacancy/70225080,AppMagic,,3000.0,USD,False,"Хорошее знание Typescript и JavaScript (ES6+), HTML, CSS (SASS). Понимание принципов работы REST. Способность писать модульный и хорошо...","...Angular (10+), Storybook, Material, RxJs, Highcharts, Jest, Sass. Jira / Confluence. Инфраструктура и backend: Gitlab, Docker, Kubernetes, PHP, Golang, <highlighttext>Python</highlighttext>."
70225082,Frontend developer (Angular),Санкт-Петербург,Открытая,2022-09-23T15:27:09+0300,2022-09-23T15:27:09+0300,False,https://api.hh.ru/vacancies/70225082?host=hh.ru,https://hh.ru/vacancy/70225082,AppMagic,,3000.0,USD,False,"Хорошее знание Typescript и JavaScript (ES6+), HTML, CSS (SASS). Понимание принципов работы REST. Способность писать модульный и хорошо...","...Angular (10+), Storybook, Material, RxJs, Highcharts, Jest, Sass. Jira / Confluence. Инфраструктура и backend: Gitlab, Docker, Kubernetes, PHP, Golang, <highlighttext>Python</highlighttext>."
69560638,PHP разработчик (middle | senior),Москва,Открытая,2022-09-23T10:18:30+0300,2022-09-23T10:18:30+0300,False,https://api.hh.ru/vacancies/69560638?host=hh.ru,https://hh.ru/vacancy/69560638,РБК,,,,,"Опыт работы с PHP 5,7,8 (5+ лет), PSR, SOLID, DRY, KISS, BDUF, Hexagonal architecture, Design Patterns. ",Проектирование и разработка REST API под высокую нагрузку. Анализ legacy-кода. Покрытие кода функциональными и unit-тестами. Участие в разработке...
69075399,Senior ML Engineer,Москва,Открытая,2022-09-22T11:43:21+0300,2022-09-22T11:43:21+0300,False,https://api.hh.ru/vacancies/69075399?host=hh.ru,https://hh.ru/vacancy/69075399,Positive Technologies,,,,,"Хорошие технические познания в <highlighttext>Python</highlighttext>, опыт с другими языками тоже приветствуются. Опыт работы с Linux-based ОС, Docker. ","Предстоит применять техники машинного обучения/статистики/анализа данных или понимать, что можно решить проще и эффективнее традиционными способами для продуктов..."
69074202,Senior Data Scientist (WAF),Нижний Новгород,Открытая,2022-09-22T10:39:17+0300,2022-09-22T10:39:17+0300,False,https://api.hh.ru/vacancies/69074202?host=hh.ru,https://hh.ru/vacancy/69074202,Positive Technologies,,,,,"Уверенное знание <highlighttext>Python</highlighttext>, git. Знание основных алгоритмов/методов машинного обучения. Владение библиотеками Pytorch, sklearn. Знание основных веб-технологий и протоколов. ",Проектирование математических моделей обнаружения атак на веб-приложения. Разработка и прототипирование статистических методов обнаружения аномалий в трафике. Поддержка и улучшение...
69885811,"Руководитель подгруппы разработки Go, Собственные продажи, Управление контентом и торговлей",Москва,Открытая,2022-09-23T19:02:25+0300,2022-09-23T19:02:25+0300,False,https://api.hh.ru/vacancies/69885811?host=hh.ru,https://hh.ru/vacancy/69885811,Ozon,,,,,Опыт работы на стеке Go/PostgreSQL. Опыт руководства командой от 3 разработчиков. Умение планировать работу команды и управлять ей. ,"Участвовать в создании продукта, прорабатывать и анализировать предлагаемые решения. Работать со смежными командами. Управлять командой разработчиков и тестировщиков. "
69075554,Senior ML Engineer,Санкт-Петербург,Открытая,2022-09-22T11:43:38+0300,2022-09-22T11:43:38+0300,False,https://api.hh.ru/vacancies/69075554?host=hh.ru,https://hh.ru/vacancy/69075554,Positive Technologies,,,,,"Хорошие технические познания в <highlighttext>Python</highlighttext>, опыт с другими языками тоже приветствуются. Опыт работы с Linux-based ОС, Docker. ","Предстоит применять техники машинного обучения/статистики/анализа данных или понимать, что можно решить проще и эффективнее традиционными способами для продуктов..."
70158920,DevOps Engineer,Алматы,Открытая,2022-09-22T13:58:05+0300,2022-09-22T13:58:05+0300,False,https://api.hh.ru/vacancies/70158920?host=hh.ru,https://hh.ru/vacancy/70158920,PLAVNO (ПЛАВНО),2000.0,3500.0,USD,False,"Опыт работы DevOps от 1,5 лет. Опыт разработки на Bash и/или <highlighttext>Python</highlighttext>. Уверенные знания и коммерческий опыт с...","Участвовать в развитии и внедрении лучших DevOps и SRE практик, улучшении инструментов и обмене знаний. Принимать участие в проектах на..."
69075232,Senior ML Engineer,Томск,Открытая,2022-09-22T11:43:04+0300,2022-09-22T11:43:04+0300,False,https://api.hh.ru/vacancies/69075232?host=hh.ru,https://hh.ru/vacancy/69075232,Positive Technologies,,,,,"Хорошие технические познания в <highlighttext>Python</highlighttext>, опыт с другими языками тоже приветствуются. Опыт работы с Linux-based ОС, Docker. ","Предстоит применять техники машинного обучения/статистики/анализа данных или понимать, что можно решить проще и эффективнее традиционными способами для продуктов..."
69065805,Разработчик RPA,Алматы,Открытая,2022-09-22T09:24:59+0300,2022-09-22T09:24:59+0300,False,https://api.hh.ru/vacancies/69065805?host=hh.ru,https://hh.ru/vacancy/69065805,"Beeline, ТМ",,,,,Опыт программирования C#/Visual Basic .NET/<highlighttext>Python</highlighttext> уровня middle. Умение работать с офисными программами. Знание основных IDE и баз данных. ,Разработка RPA-роботов для внутренних и внешних заказчиков. Анализ бизнес процессов. Разработка дополнительного ПО для RPA. Поддержка разработанных роботов. 
70140842,DevOps Engineer,Москва,Открытая,2022-09-22T10:05:58+0300,2022-09-22T10:05:58+0300,False,https://api.hh.ru/vacancies/70140842?host=hh.ru,https://hh.ru/vacancy/70140842,Шарп Девелоперс,,4000.0,USD,False,English B2+.,"Automation of assembly processes, testing and implementation of new versions of programs. Preparing and automating load testing, writing reports and..."
55269919,Программист 1С,Ижевск,Открытая,2022-09-23T08:08:00+0300,2022-09-23T08:08:00+0300,False,https://api.hh.ru/vacancies/55269919?host=hh.ru,https://hh.ru/vacancy/55269919,Programming Store,,,,,"Опыт разработки в среде 1С от 3 лет. Опыт работы с типовыми решениями 1С (ERP, УХ, УПП, ЗУП...",Программированием в среде 1С версии 8. Взаимодействием с аналитиками заказчиков участвовать в организации разработки. Разработкой нового и доработкой существующего...
70139834,BI Developer (Middle),Пермь,Открытая,2022-09-22T09:51:33+0300,2022-09-22T09:51:33+0300,False,https://api.hh.ru/vacancies/70139834?host=hh.ru,https://hh.ru/vacancy/70139834,ЭР-Телеком,,,,,"Знание принципов OLAP-кубов. Знание <highlighttext>Python</highlighttext>, Bash, опыт разработки микросервисов. Опыт разработки ETL процессов загрузки данных с использованием любого промышленного...","Проектирование и разработка логической и физической модели данных. Разработка ETL-процессов сбора данных и/или SQL-процедур, разработка проверок качества..."
69009216,Senior C++ Developer (Gameplay),Москва,Открытая,2022-09-22T12:20:55+0300,2022-09-22T12:20:55+0300,False,https://api.hh.ru/vacancies/69009216?host=hh.ru,https://hh.ru/vacancy/69009216,Playrix,,,,,"Опыт разработки под мобильные платформы (iOS, Android). Опыт работы с компьютерной графикой. Знание <highlighttext>Python</highlighttext>, Lua или других скриптовых языков.",Программирование игровых механик и логики. Проектирование и ревью архитектуры фич. Программирование UI и визуальных эффектов. Профилирование и оптимизация игры по...
70158391,Frontend-разработчик,Москва,Открытая,2022-09-22T13:51:34+0300,2022-09-22T13:51:34+0300,False,https://api.hh.ru/vacancies/70158391?host=hh.ru,https://hh.ru/vacancy/70158391,Marilyn System Russia,,,,,Здоровый перфекционизм и стойкая неприязнь к изобретению велосипедов. Базовые знания <highlighttext>Python</highlighttext>. Базовые навыки работы с PostgreSQL. Умение решать нестандартные проблемы...,"Разработка новой функциональности front-end системы. Поддержка кастомной библиотеки компонентов и дизайн-системы. Оценка трудоемкости задач, участие в процессе планирования. "
70162974,PHP-разработчик,Москва,Открытая,2022-09-22T14:49:16+0300,2022-09-22T14:49:16+0300,False,https://api.hh.ru/vacancies/70162974?host=hh.ru,https://hh.ru/vacancy/70162974,Мой Мир,,,,,...web-проекты (Asterisk или подобных). Знания паттернов микро-сервисной архитектуры и умение их применять. Знание других языков программирования (GO/<highlighttext>Python</highlighttext>).,Разрабатывать новые и рефакторить старые модули. Писать unit-тесты на свой код. (Если не писали до этого – научим). 
69221088,Разработчик ETL,Екатеринбург,Открытая,2022-09-21T19:50:08+0300,2022-09-21T19:50:08+0300,False,https://api.hh.ru/vacancies/69221088?host=hh.ru,https://hh.ru/vacancy/69221088,Тинькофф,,,,,Высшее техническое образование. Опыт работы с базами данных в качестве разработчика от 1 года. Свободное владение SQL. Понимание теории СУБД...,"Проектировать и разрабатывать процессы преобразования данных (ETL) для хранилища данных. Писать скрипты на SQL, <highlighttext>Python</highlighttext>. Проектировать потоки данных. "
69009463,Programming Team Lead (С++),Санкт-Петербург,Открытая,2022-09-22T12:20:41+0300,2022-09-22T12:20:41+0300,False,https://api.hh.ru/vacancies/69009463?host=hh.ru,https://hh.ru/vacancy/69009463,Playrix,,,,,"Занимались разработкой игровых проектов, выпущенных в production. Имеете не менее 3 лет опыта разработки коммерческих проектов на С++. ","Менеджмент команды С++ программистов (организация, координация, обучение, развитие, оценка результатов работы). Участие в найме и адаптации новых сотрудников. "
69687182,Middle .NET (C#) developer / разработчик C#,Москва,Открытая,2022-10-06T00:58:39+0300,2022-10-06T00:58:39+0300,False,https://api.hh.ru/vacancies/69687182?host=hh.ru,https://hh.ru/vacancy/69687182,Солнечный ветер,150000.0,250000.0,RUR,True,Знакомство с Robot Operating System (ROS). Опыт использования C++. Знание <highlighttext>Python</highlighttext> и технологий Computer Vision/Machine Learning. Умение разрабатывать асинхронный...,"Техническое ведение проектов, взаимодействие с менеджером проекта, аккаунт-менеджером и/или представителем заказчика. Участие в работе распределённой команды программистов, в..."
69030262,Senior Data Science,Москва,Открытая,2022-09-21T12:27:53+0300,2022-09-21T12:27:53+0300,False,https://api.hh.ru/vacancies/69030262?host=hh.ru,https://hh.ru/vacancy/69030262,TalentTech,,,,,"Опыт работы с нейронными сетями (pytorch). Опыт работы с классическим ML: sklearn, RandomForest, XGBoost/CatBoost. Углубленное знание в области NLP. ","Решение комплексных задач, используя методы машинного обучения. Постановка математической задачи в проектах, изучая и анализируя use-кейсы (сценарии использования), формируя..."
66750707,DWH Developer,Санкт-Петербург,Открытая,2022-09-21T10:31:23+0300,2022-09-21T10:31:23+0300,False,https://api.hh.ru/vacancies/66750707?host=hh.ru,https://hh.ru/vacancy/66750707,Hoff,,,,,Практический опыт разработки ETL с помощью Airflow (<highlighttext>Python</highlighttext>) или T-SQL/ ANSI-SQL. Опыт работы с OLAP кубами SSAS. ,Участие в миграции данных (BigQuery - Yandex.Cloud - ClickHouse). Формирование пользовательских витрин данных. Написание <highlighttext>Python</highlighttext> скриптов / DAG-ов для интеграции с внешними...
66750706,DWH Developer,Москва,Открытая,2022-09-21T10:31:19+0300,2022-09-21T10:31:19+0300,False,https://api.hh.ru/vacancies/66750706?host=hh.ru,https://hh.ru/vacancy/66750706,Hoff,,,,,Практический опыт разработки ETL с помощью Airflow (<highlighttext>Python</highlighttext>) или T-SQL/ ANSI-SQL. Опыт работы с OLAP кубами SSAS. ,Участие в миграции данных (BigQuery - Yandex.Cloud - ClickHouse). Формирование пользовательских витрин данных. Написание <highlighttext>Python</highlighttext> скриптов / DAG-ов для интеграции с внешними...
